BuildingType,PrimaryPropertyType,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),UsageComplexity,HasNaturalGas,HasSteam,DensityPerFloor,IsLargeBuilding,IsDowntown
NonResidential,Hospital,BALLARD,5,285333,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),302661.0,Parking,148865.0,,,68090728.0,2,1,0,57066.6,1,0
SPS-District K-12,K-12 School,Ballard,2,55513,55513,K-12 School,K-12 School,59097.0,,,,,1513570.75,1,0,0,27756.5,1,0
Nonresidential COS,Other,DOWNTOWN,4,61156,61156,"Office, Other",Other,42755.0,Office,29219.0,,,9363374.0,2,1,0,15289.0,1,1
NonResidential,Other,DOWNTOWN,4,72820,59000,Museum,Museum,58000.0,,,,,2010454.625,1,1,0,14750.0,1,1
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,4,162222,148022,"Hotel, Parking",Hotel,113702.0,Parking,32692.0,,,7946961.0,2,1,0,37005.5,1,0
SPS-District K-12,K-12 School,SOUTHEAST,4,289588,289588,K-12 School,K-12 School,289588.0,,,,,8819852.0,1,1,0,72397.0,1,0
NonResidential,University,EAST,3,63330,63330,College/University,College/University,64820.0,,,,,3059758.0,1,1,0,21110.0,1,0
Campus,University,DELRIDGE,2,441071,441071,College/University,College/University,483000.0,,,,,38301744.0,1,1,0,220535.5,1,0
NonResidential,Small- and Mid-Sized Office,NORTHEAST,2,96300,96300,"Data Center, Office",Office,92300.0,Data Center,4944.0,,,16319835.0,2,1,0,48150.0,1,0
Nonresidential COS,Other,GREATER DUWAMISH,1,67356,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,,,,7475577.5,4,1,0,67356.0,1,0
SPS-District K-12,K-12 School,CENTRAL,3,254523,254523,K-12 School,K-12 School,254523.0,,,,,13567774.0,1,1,0,84841.0,1,0
SPS-District K-12,K-12 School,SOUTHEAST,3,78804,78804,K-12 School,K-12 School,78804.0,,,,,2499140.0,1,1,0,26268.0,1,0
SPS-District K-12,K-12 School,CENTRAL,3,66994,66994,K-12 School,K-12 School,66994.0,,,,,2371304.5,1,1,0,22331.33333333333,1,0
SPS-District K-12,K-12 School,GREATER DUWAMISH,3,98357,98357,K-12 School,K-12 School,98357.0,,,,,3456131.5,1,1,0,32785.666666666664,1,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,54765,54765,"Office, Other",Office,25765.0,Other,25000.0,,,4253369.5,2,1,0,54765.0,1,0
NonResidential,University,MAGNOLIA / QUEEN ANNE,2,52611,52611,College/University,College/University,52611.0,,,,,4116871.5,1,1,0,26305.5,1,0
SPS-District K-12,K-12 School,NORTH,2,236758,236758,"K-12 School, Parking",K-12 School,238550.0,Parking,0.0,,,8355988.5,2,1,0,118379.0,1,0
NonResidential,Other,CENTRAL,6,250981,250981,"Courthouse, Other",Other,137565.0,Courthouse,78357.0,,,13071700.0,2,1,1,41830.16666666666,1,0
